00, 1'h0
0100, 4'hD
01010, 7'h77
01011, 9'h15F
01012, 9'h0DF
01013, 15'h17FF
01014, 15'h57FF
0101X, 17'h07FFF
01020, 7'h0F
01021, 9'h1DF
01022, 10'h3BF
01023, 15'h37FF
01024, 15'h77FF
0102X, 17'h17FFF
0103, 12'h1FF
0104, 12'h9FF
010X, 14'h3BFF
011, 6'h2B
012, 6'h1B
013, 12'h4FF
014, 12'hCFF
01X, 14'h13FF
020, 4'h5
021, 6'h3B
0220, 7'h37
0221, 9'h09F
0222, 9'h19F
0223, 15'h27FF
0224, 15'h67FF
022X, 16'h5FFF
023, 12'h2FF
024, 12'hAFF
02X, 14'h33FF
03, 9'h1EF
04, 9'h01F
0X, 11'h27F
1000, 4'h3
10010, 7'h4F
10011, 9'h03F
10012, 9'h13F
10013, 15'h0FFF
10014, 15'h4FFF
1001X, 16'h3FFF
10020, 7'h2F
10021, 9'h0BF
10022, 10'h07F
10023, 15'h2FFF
10024, 15'h6FFF
1002X, 17'h0FFFF
1003, 12'h5FF
1004, 12'hDFF
100X, 14'h07FF
101, 6'h07
102, 6'h27
103, 12'h6FF
104, 12'hEFF
10X, 14'h0BFF
110, 6'h17
111, 8'h6F
1120, 9'h05F
1121, 11'h77F
1122, 11'h0FF
1123, 16'hDFFF
1124, 17'h1BFFF
112X, 18'h3FFFF
113, 14'h2BFF
114, 14'h1BFF
11X, 16'h9FFF
12, 6'h0B
13, 11'h67F
14, 11'h17F
1X, 13'h03FF
2, 3'h1
30, 9'h11F
31, 11'h57F
32, 11'h37F
33, 16'h1FFF
34, 17'h0BFFF
3X, 18'h1FFFF
4, 9'h0EF
X, 10'h1BF
