0, 2'h0
10, 4'h1
110, 7'h7D
111, 7'h03
112, 7'h43
113, 8'h3B
114, 8'hBB
115, 9'h0CF
116, 9'h1CF
117, 11'h3BF
118, 11'h7BF
11X, 11'h07F
120, 7'h23
121, 7'h63
122, 7'h13
123, 8'h7B
124, 8'hFB
125, 9'h02F
126, 9'h12F
127, 11'h47F
128, 11'h27F
12X, 11'h67F
130, 7'h53
131, 8'h07
132, 8'h87
133, 9'h0AF
134, 9'h1AF
135, 10'h0DF
136, 10'h2DF
137, 12'h2FF
138, 12'hAFF
13X, 12'h6FF
140, 8'h47
141, 8'hC7
142, 8'h27
143, 9'h06F
144, 9'h16F
145, 10'h1DF
146, 10'h3DF
147, 12'hEFF
148, 12'h1FF
14X, 12'h9FF
15, 7'h35
16, 7'h75
17, 8'h6B
18, 9'h0F7
1X, 9'h1F7
200, 6'h15
201, 7'h33
202, 7'h73
203, 8'hA7
204, 8'h67
205, 9'h0EF
206, 9'h1EF
207, 11'h17F
208, 11'h57F
20X, 11'h37F
210, 7'h0B
211, 7'h4B
212, 7'h2B
213, 8'hE7
214, 8'h17
215, 9'h01F
216, 9'h11F
217, 11'h77F
218, 11'h0FF
21X, 11'h4FF
22, 5'h09
230, 8'h97
231, 8'h57
232, 8'hD7
233, 9'h09F
234, 9'h19F
235, 10'h03F
236, 10'h23F
237, 12'h5FF
238, 12'hDFF
23X, 12'h3FF
240, 8'h37
241, 8'hB7
242, 8'h77
243, 9'h05F
244, 9'h15F
245, 10'h13F
246, 10'h33F
247, 12'hBFF
248, 12'h7FF
24X, 12'hFFF
25, 7'h0D
26, 7'h4D
27, 8'hEB
28, 9'h00F
2X, 9'h10F
3, 3'h2
4, 3'h6
50, 6'h25
51, 7'h2D
52, 7'h6D
53, 8'h1B
54, 8'h9B
55, 9'h08F
56, 9'h18F
57, 11'h0BF
58, 11'h4BF
5X, 11'h2BF
60, 7'h1D
61, 7'h5D
62, 7'h3D
63, 8'h5B
64, 8'hDB
65, 9'h04F
66, 9'h14F
67, 11'h6BF
68, 11'h1BF
6X, 11'h5BF
7, 6'h19
8, 6'h39
X, 6'h05
