<root>, 4'h0
0, 4'h8
00, 4'h4
000, 4'hC
0000, 4'h2
00000, 5'h0A
000000, 5'h1A
0000000, 5'h06
00000000, 5'h16
000000000, 5'h0E
0000000000, 5'h1E
00000000000, 5'h01
000000000000, 5'h11
0000000000000, 5'h09
00000000000000, 5'h19
000000000000000, 5'h05
0000000000000000, 5'h15
00000000000000000, 5'h0D
000000000000000000, 5'h1D
0000000000000000000, 5'h03
00000000000000000000, 5'h13
000000000000000000000, 5'h0B
0000000000000000000000, 5'h1B
00000000000000000000000, 5'h07
000000000000000000000000, 5'h17
0000000000000000000000000, 5'h0F
00000000000000000000000000, 6'h1F
00000000001, 9'h17F
0000000001, 9'h07F
00000000010, 9'h0FF
0002, 10'h1FF
002, 9'h13F
0020, 10'h3FF
02, 9'h03F
020, 9'h0BF
0200, 9'h1BF
